candidate_id,classification,cohort,g_b_over_g_a,inference_scope,missing_points,mu,paired_budget_verified,paired_numerical_audit,rank,ranking_score,reason,t
half_filled_core_g0.25_t0.25_mu0,STOP,half_filled_core,0.25,statistical_only,"m=4,beta=8;m=6,beta=8;m=8,beta=4;m=8,beta=8",0.0,True,,1,-1000000000.0,"incomplete audited long-chain grid; no physics inference (missing or failed [(4, 8.0), (6, 8.0), (8, 4.0), (8, 8.0)])",0.25
half_filled_core_g0.25_t0.5_mu0,STOP,half_filled_core,0.25,statistical_only,"m=4,beta=8;m=6,beta=8;m=8,beta=8",0.0,True,,2,-1000000000.0,"incomplete audited long-chain grid; no physics inference (missing or failed [(4, 8.0), (6, 8.0), (8, 8.0)])",0.5
half_filled_core_g0.25_t1_mu0,STOP,half_filled_core,0.25,statistical_only,"m=4,beta=8;m=6,beta=8;m=8,beta=4;m=8,beta=8",0.0,True,,3,-1000000000.0,"incomplete audited long-chain grid; no physics inference (missing or failed [(4, 8.0), (6, 8.0), (8, 4.0), (8, 8.0)])",1.0
half_filled_core_g0.5_t0.25_mu0,STOP,half_filled_core,0.5,statistical_only,"m=4,beta=4;m=4,beta=8;m=6,beta=8;m=8,beta=4;m=8,beta=8",0.0,True,,4,-1000000000.0,"incomplete audited long-chain grid; no physics inference (missing or failed [(4, 4.0), (4, 8.0), (6, 8.0), (8, 4.0), (8, 8.0)])",0.25
half_filled_core_g0.5_t0.5_mu0,STOP,half_filled_core,0.5,statistical_only,"m=4,beta=4;m=4,beta=8;m=6,beta=8;m=8,beta=8",0.0,True,,5,-1000000000.0,"incomplete audited long-chain grid; no physics inference (missing or failed [(4, 4.0), (4, 8.0), (6, 8.0), (8, 8.0)])",0.5
half_filled_core_g0.5_t1_mu0,STOP,half_filled_core,0.5,statistical_only,"m=4,beta=8;m=6,beta=8;m=8,beta=4;m=8,beta=8",0.0,True,,6,-1000000000.0,"incomplete audited long-chain grid; no physics inference (missing or failed [(4, 8.0), (6, 8.0), (8, 4.0), (8, 8.0)])",1.0
half_filled_core_g1_t0.25_mu0,STOP,half_filled_core,1.0,statistical_only,"m=4,beta=4;m=4,beta=8;m=6,beta=8;m=8,beta=4;m=8,beta=8",0.0,True,,7,-1000000000.0,"incomplete audited long-chain grid; no physics inference (missing or failed [(4, 4.0), (4, 8.0), (6, 8.0), (8, 4.0), (8, 8.0)])",0.25
half_filled_core_g1_t0.5_mu0,STOP,half_filled_core,1.0,statistical_only,"m=4,beta=4;m=4,beta=8;m=6,beta=8;m=8,beta=4;m=8,beta=8",0.0,True,,8,-1000000000.0,"incomplete audited long-chain grid; no physics inference (missing or failed [(4, 4.0), (4, 8.0), (6, 8.0), (8, 4.0), (8, 8.0)])",0.5
half_filled_core_g1_t1_mu0,STOP,half_filled_core,1.0,statistical_only,"m=4,beta=4;m=4,beta=8;m=6,beta=8;m=8,beta=4;m=8,beta=8",0.0,True,,9,-1000000000.0,"incomplete audited long-chain grid; no physics inference (missing or failed [(4, 4.0), (4, 8.0), (6, 8.0), (8, 4.0), (8, 8.0)])",1.0
paired_competition_g0.75_t0.5_mu+1.5,STOP,paired_competition,0.75,statistical_only,"m=4,beta=8;m=6,beta=8;m=8,beta=8",1.5,True,False,10,-1000000000.0,paired member failed the numerical audit; no physics inference,0.5
paired_competition_g0.75_t0.5_mu-1.5,STOP,paired_competition,0.75,statistical_only,"m=4,beta=8;m=6,beta=8;m=8,beta=8",-1.5,True,False,11,-1000000000.0,paired member failed the numerical audit; no physics inference,0.5
paired_competition_g0.75_t1_mu+1.5,STOP,paired_competition,0.75,statistical_only,"m=4,beta=8;m=6,beta=8;m=8,beta=8",1.5,True,False,12,-1000000000.0,paired member failed the numerical audit; no physics inference,1.0
paired_competition_g0.75_t1_mu-1.5,STOP,paired_competition,0.75,statistical_only,"m=4,beta=8;m=6,beta=8;m=8,beta=8",-1.5,True,False,13,-1000000000.0,paired member failed the numerical audit; no physics inference,1.0
paired_competition_g1.25_t0.5_mu+1.5,STOP,paired_competition,1.25,statistical_only,"m=4,beta=8;m=6,beta=8;m=8,beta=8",1.5,True,False,14,-1000000000.0,paired member failed the numerical audit; no physics inference,0.5
paired_competition_g1.25_t0.5_mu-1.5,STOP,paired_competition,1.25,statistical_only,"m=4,beta=8;m=6,beta=8;m=8,beta=8",-1.5,True,False,15,-1000000000.0,paired member failed the numerical audit; no physics inference,0.5
paired_competition_g1.25_t1_mu+1.5,STOP,paired_competition,1.25,statistical_only,"m=4,beta=8;m=6,beta=8;m=8,beta=8",1.5,True,False,16,-1000000000.0,paired member failed the numerical audit; no physics inference,1.0
paired_competition_g1.25_t1_mu-1.5,STOP,paired_competition,1.25,statistical_only,"m=4,beta=8;m=6,beta=8;m=8,beta=8",-1.5,True,False,17,-1000000000.0,paired member failed the numerical audit; no physics inference,1.0
paired_competition_g1_t0.5_mu+1.5,STOP,paired_competition,1.0,statistical_only,"m=4,beta=8;m=6,beta=8;m=8,beta=8",1.5,True,False,18,-1000000000.0,paired member failed the numerical audit; no physics inference,0.5
paired_competition_g1_t0.5_mu-1.5,STOP,paired_competition,1.0,statistical_only,"m=4,beta=8;m=6,beta=8;m=8,beta=8",-1.5,True,False,19,-1000000000.0,paired member failed the numerical audit; no physics inference,0.5
paired_competition_g1_t1_mu+1.5,STOP,paired_competition,1.0,statistical_only,"m=4,beta=8;m=6,beta=8;m=8,beta=8",1.5,True,False,20,-1000000000.0,paired member failed the numerical audit; no physics inference,1.0
paired_competition_g1_t1_mu-1.5,STOP,paired_competition,1.0,statistical_only,"m=4,beta=8;m=6,beta=8;m=8,beta=8",-1.5,True,False,21,-1000000000.0,paired member failed the numerical audit; no physics inference,1.0
